               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075547,            0.012287,                   0,             0.11835,            0.066667,            0.050563,            0.013974,            0.086547,            0.012248,                   0,             0.00161,             0.00161,             0.08551
                   1,            0.068797,             0.01201,                   0,             0.22555,             0.22222,             0.19442,            0.044252,            0.071291,             0.01452,                   0,           0.0032299,           0.0032299,             0.07093
                   2,            0.067093,            0.011403,                   0,             0.33452,             0.27407,             0.22252,            0.062539,             0.06565,            0.011359,                   0,           0.0048495,           0.0048495,             0.05635
                   3,            0.063059,            0.011379,                   0,             0.17288,             0.17037,             0.11207,            0.026904,            0.066727,            0.010999,                   0,           0.0064686,           0.0064686,            0.041769
                   4,            0.062095,            0.011434,                   0,             0.23428,              0.2221,             0.16092,            0.048795,            0.066815,            0.011763,                   0,           0.0080868,           0.0080868,            0.027187
                   5,            0.058997,            0.011408,                   0,             0.24328,             0.22147,             0.15926,            0.050899,            0.066219,            0.010554,                   0,            0.009704,            0.009704,            0.012604
                   6,            0.056772,            0.011243,                   0,              0.2421,             0.11852,             0.10128,            0.028536,            0.064173,             0.01281,                   0,           0.0099911,           0.0099911,           0.0099911
                   7,            0.054632,            0.011116,                   0,             0.32058,             0.31111,             0.22689,             0.08355,            0.061857,            0.010401,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.053087,            0.010765,                   0,             0.26741,             0.20741,              0.1795,            0.057479,            0.063473,            0.010507,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.050524,            0.010513,                   0,             0.28084,             0.26667,             0.21892,            0.064827,            0.062233,            0.010797,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.049087,            0.010258,                   0,                 0.2,                 0.2,              0.1341,            0.040859,            0.061681,                 nan,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.047366,            0.010047,                   0,             0.23704,             0.23704,              0.1854,            0.060017,            0.062588,            0.010764,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.047365,            0.010095,                   0,             0.20341,             0.19259,              0.1507,            0.052387,            0.061858,            0.010317,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.046179,           0.0096863,                   0,             0.23189,             0.21481,             0.15562,            0.051672,            0.062065,            0.011238,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.044683,           0.0097889,                   0,             0.20917,             0.19259,             0.14678,            0.048448,            0.062496,            0.011221,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.045174,           0.0097148,                   0,             0.29653,             0.25917,             0.18659,            0.058179,            0.062238,            0.010856,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.043776,           0.0092916,                   0,             0.22322,             0.17037,             0.13578,            0.046822,            0.060658,            0.010929,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.042686,           0.0091703,                   0,             0.24013,             0.22963,             0.15368,            0.055186,            0.060911,            0.011397,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.041804,           0.0092818,                   0,             0.18649,             0.18519,             0.12122,            0.048325,            0.061083,            0.011604,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.040528,            0.009059,                   0,             0.26667,             0.26667,             0.18955,            0.068241,            0.060972,            0.011554,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.040319,           0.0090109,                   0,             0.23954,             0.21481,             0.16025,            0.059542,            0.061588,            0.011091,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.039493,           0.0090329,                   0,             0.32724,             0.31111,             0.27231,            0.083672,            0.059951,            0.011155,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.039604,           0.0088732,                   0,             0.42497,             0.27372,              0.2922,             0.09521,            0.058828,            0.010908,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.038695,           0.0086438,                   0,             0.23425,             0.18519,              0.1538,            0.057084,            0.060648,            0.012553,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.038473,           0.0086705,                   0,             0.24986,             0.21481,             0.16295,            0.061572,            0.059448,            0.010936,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.039301,           0.0085345,                   0,             0.30567,             0.27393,             0.22101,            0.066467,            0.061602,            0.011266,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.037208,           0.0084027,                   0,             0.31678,             0.19234,             0.17848,            0.066355,            0.060917,            0.011643,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.036015,           0.0081151,                   0,             0.30493,             0.26667,             0.22978,            0.076971,            0.063425,            0.011764,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.036333,           0.0081128,                   0,             0.29701,             0.24411,             0.20753,            0.067452,            0.061533,            0.011567,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.036097,           0.0079566,                   0,              0.3275,             0.17037,             0.15322,            0.059833,            0.060775,            0.011625,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.035928,           0.0079763,                   0,             0.30356,             0.12592,             0.15393,            0.061528,             0.06182,            0.011939,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.035746,           0.0078514,                   0,             0.28764,             0.23704,             0.18592,            0.059791,            0.061811,            0.012902,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.034396,           0.0078039,                   0,             0.28506,             0.18519,             0.16924,            0.062135,             0.06332,            0.012712,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.035356,           0.0076364,                   0,             0.32956,              0.2294,             0.19866,            0.069606,            0.060766,            0.012389,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.034734,           0.0078875,                   0,             0.35282,             0.22222,             0.19391,            0.077077,            0.060673,            0.012581,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.036648,           0.0079908,                   0,             0.31388,             0.28148,             0.25377,            0.078386,            0.060849,            0.011448,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,            0.033701,           0.0077339,                   0,             0.20461,             0.18484,             0.14633,            0.055868,            0.063512,            0.013095,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.034679,           0.0073914,                   0,             0.31929,             0.22963,             0.20683,            0.069391,            0.059093,            0.013099,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.033708,           0.0076057,                   0,             0.26697,             0.19964,             0.16582,            0.066689,            0.061089,            0.012954,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,             0.03463,           0.0075931,                   0,             0.45646,             0.15552,             0.17388,            0.059154,            0.062894,            0.012213,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.034022,           0.0074932,                   0,             0.35278,             0.22222,             0.20525,            0.063404,            0.060995,            0.012364,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.033898,           0.0073823,                   0,             0.28545,             0.20714,             0.18623,            0.065486,            0.060814,            0.012467,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.033627,           0.0072778,                   0,             0.27581,             0.17778,             0.15354,            0.053281,            0.062294,            0.013193,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.032545,           0.0072519,                   0,             0.39234,             0.24444,             0.23017,            0.092536,            0.060633,            0.011539,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.031158,           0.0068781,                   0,             0.29356,             0.23701,             0.22579,            0.074267,            0.063145,            0.011992,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.030094,           0.0069214,                   0,             0.26879,             0.20741,             0.17556,            0.059433,            0.063982,            0.013068,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.030912,           0.0069821,                   0,             0.36069,             0.18519,             0.18004,            0.063545,            0.061885,            0.012828,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.030635,           0.0067386,                   0,             0.28967,             0.14801,             0.15919,             0.06678,            0.060597,            0.013585,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.030021,           0.0068645,                   0,             0.30952,             0.25926,             0.24066,            0.092953,            0.060676,            0.012484,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.029809,            0.006798,                   0,             0.26667,             0.26667,             0.21436,            0.084018,            0.060504,            0.012467,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.030446,           0.0067333,                   0,              0.3383,             0.14815,             0.14401,            0.060588,            0.062021,            0.012787,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.030714,           0.0068458,                   0,             0.24943,              0.2437,             0.18469,            0.057704,            0.062838,            0.012124,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.030832,           0.0067585,                   0,             0.34373,             0.16296,             0.18273,            0.072492,            0.060614,            0.012675,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.029941,           0.0066918,                   0,             0.31833,             0.28148,             0.22079,            0.085732,            0.062375,            0.012031,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.029705,            0.006608,                   0,             0.27391,             0.14815,             0.12642,            0.045137,            0.060539,            0.012374,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.028776,           0.0065716,                   0,             0.26148,             0.20741,             0.16982,             0.07075,            0.061815,            0.013687,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.028777,            0.006345,                   0,             0.33614,              0.2513,              0.2032,            0.070153,            0.062239,            0.013105,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.028502,           0.0063935,                   0,             0.32405,             0.26667,             0.23553,            0.089502,            0.061732,            0.012207,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.028753,           0.0064629,                   0,             0.27272,             0.24444,             0.20915,            0.074782,            0.063406,            0.012607,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.028854,           0.0064146,                   0,             0.39567,             0.14074,             0.14538,            0.052958,            0.062373,            0.013605,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,            0.027296,            0.006119,                   0,             0.33745,             0.19259,             0.17595,            0.065502,            0.062889,            0.012982,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,            0.028557,           0.0064037,                   0,             0.21534,                 0.2,             0.17109,            0.065993,            0.063312,             0.01242,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,            0.028716,           0.0063747,                   0,               0.277,             0.20741,             0.14959,            0.055901,            0.063859,            0.014943,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,            0.028449,           0.0061364,                   0,             0.24251,             0.18519,             0.13546,            0.046241,            0.064346,            0.013542,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,            0.028092,           0.0059904,                   0,             0.32503,                 0.2,             0.17816,            0.056494,            0.062978,            0.012798,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,            0.028071,           0.0058849,                   0,              0.3452,             0.21481,             0.17912,            0.048824,            0.061809,            0.014326,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.026432,           0.0058962,                   0,             0.26488,             0.22963,             0.17256,            0.047781,            0.062773,            0.013653,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,            0.027258,           0.0058301,                   0,             0.31996,             0.29624,             0.24142,            0.086907,            0.063181,            0.013431,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,            0.026656,           0.0057668,                   0,             0.28952,             0.21481,             0.19532,            0.069354,             0.06493,            0.013654,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,            0.026033,           0.0057323,                   0,             0.22838,                 0.2,             0.16554,            0.062173,            0.062524,            0.013372,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,            0.026573,           0.0059359,                   0,             0.20944,             0.16296,             0.11259,            0.040723,            0.064166,             0.01575,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.026682,           0.0059643,                   0,             0.41261,             0.19259,              0.2178,             0.07745,            0.063859,            0.013147,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,            0.027181,           0.0059626,                   0,             0.17943,             0.14815,              0.1063,            0.039965,            0.064502,            0.013804,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,            0.026417,            0.005821,                   0,             0.21951,             0.21481,             0.15445,            0.058906,            0.064635,            0.013171,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,            0.026562,           0.0058238,                   0,             0.20429,             0.17778,             0.13789,            0.052336,            0.062932,            0.013526,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,            0.026241,           0.0056504,                   0,             0.25414,             0.20741,             0.19547,            0.066226,            0.063096,            0.012848,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,            0.025233,           0.0056074,                   0,             0.31615,             0.18519,             0.18628,            0.068484,            0.061483,            0.014033,                   0,            0.008682,            0.008682,            0.008682
                  77,            0.025303,           0.0056412,                   0,             0.25469,             0.22783,             0.18061,            0.065996,            0.060434,            0.014683,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,            0.025764,           0.0055887,                   0,             0.27158,             0.16294,             0.15258,            0.057261,            0.064231,            0.013554,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,            0.026489,           0.0056831,                   0,             0.32687,             0.26667,             0.21415,             0.07293,            0.061505,            0.013444,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.025861,            0.005784,                   0,             0.25724,             0.19259,             0.16242,            0.071818,            0.062207,            0.013542,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,            0.025706,           0.0055371,                   0,             0.44431,             0.22222,             0.22078,            0.079832,            0.061273,            0.013042,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,             0.02542,           0.0056835,                   0,             0.23403,             0.19238,             0.15578,            0.059741,            0.064626,            0.014067,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,             0.02608,           0.0054357,                   0,              0.2692,             0.17736,              0.1567,            0.050504,            0.061694,            0.014282,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,             0.02524,           0.0055971,                   0,             0.24533,             0.22222,               0.168,            0.060918,            0.062446,            0.013474,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,            0.024971,           0.0054909,                   0,             0.46934,             0.17034,             0.18001,            0.054905,            0.063047,             0.01441,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.025061,           0.0056184,                   0,             0.26384,             0.24444,             0.17892,            0.067715,            0.062853,            0.013601,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.025077,           0.0053642,                   0,             0.29901,             0.28148,             0.22817,            0.084508,            0.059901,            0.014214,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.024621,           0.0053996,                   0,             0.29186,             0.22963,             0.19843,            0.066388,             0.06135,            0.014137,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,            0.023937,           0.0054507,                   0,             0.27263,                 0.2,             0.17239,            0.062168,            0.059753,            0.014306,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,            0.024446,           0.0055013,                   0,              0.3513,             0.19259,             0.17433,            0.064563,            0.061427,            0.013008,                   0,            0.008183,            0.008183,            0.008183
                  91,            0.024286,           0.0052942,                   0,             0.35721,             0.13333,             0.14744,             0.05889,            0.062691,            0.013964,                   0,            0.008145,            0.008145,            0.008145
                  92,            0.023881,           0.0051054,                   0,             0.30297,             0.22216,             0.17951,             0.07743,            0.061811,            0.013003,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,             0.02385,           0.0051111,                   0,             0.29282,             0.25151,             0.19534,            0.071199,            0.061361,            0.013962,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,            0.023588,           0.0051884,                   0,             0.23323,             0.20741,             0.17867,            0.068199,            0.063557,            0.014957,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,             0.02285,           0.0050906,                   0,             0.33831,             0.28148,             0.25032,            0.098818,             0.06203,            0.013316,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,            0.022717,           0.0050533,                   0,             0.32523,             0.24444,             0.22844,            0.086681,            0.061657,            0.013822,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,            0.022835,           0.0050495,                   0,             0.31901,             0.22209,             0.19703,            0.068752,            0.061173,            0.013629,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,            0.022847,           0.0049897,                   0,             0.35096,             0.18519,             0.17937,            0.061268,            0.061215,            0.013931,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,            0.023151,           0.0049389,                   0,             0.30383,             0.22963,              0.1896,            0.066559,            0.060455,            0.013764,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,            0.022703,           0.0048459,                   0,             0.16514,             0.14815,             0.10429,            0.045367,            0.063062,            0.015364,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,            0.023146,           0.0050242,                   0,             0.23885,             0.20741,             0.16476,            0.071974,            0.060599,            0.013919,                   0,             0.00775,             0.00775,             0.00775
                 102,            0.022647,           0.0049442,                   0,             0.23061,             0.17762,             0.14785,            0.064257,            0.061071,            0.013962,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,            0.022465,           0.0049928,                   0,             0.35691,               0.185,             0.17019,            0.059832,            0.059652,            0.014743,                   0,           0.0076679,           0.0076679,           0.0076679
                 104,            0.022038,           0.0049508,                   0,             0.32465,             0.18519,             0.16391,            0.057305,            0.061387,            0.015568,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,            0.022001,           0.0049974,                   0,             0.21425,                 0.2,             0.14456,            0.056038,            0.061526,            0.014695,                   0,           0.0075848,           0.0075848,           0.0075848
                 106,            0.022128,           0.0050013,                   0,             0.26381,             0.24444,             0.18556,            0.063781,            0.060751,            0.013516,                   0,            0.007543,            0.007543,            0.007543
                 107,            0.022317,           0.0050719,                   0,             0.24958,             0.22963,             0.18586,            0.060559,            0.062697,            0.014432,                   0,           0.0075009,           0.0075009,           0.0075009
                 108,            0.022464,            0.004857,                   0,             0.22272,             0.19259,             0.14503,            0.050433,             0.06098,            0.015776,                   0,           0.0074585,           0.0074585,           0.0074585
                 109,            0.021974,           0.0047225,                   0,             0.22669,             0.16296,             0.13707,            0.044576,            0.062398,            0.014398,                   0,            0.007416,            0.007416,            0.007416
                 110,            0.022053,           0.0048616,                   0,              0.2424,             0.17775,             0.13646,            0.043271,            0.062256,            0.014856,                   0,           0.0073733,           0.0073733,           0.0073733
                 111,            0.022107,           0.0048273,                   0,             0.36181,             0.18519,             0.21461,            0.071048,            0.062013,             0.01423,                   0,           0.0073303,           0.0073303,           0.0073303
                 112,            0.021595,           0.0045466,                   0,             0.34632,             0.19259,             0.19565,            0.070945,            0.062573,            0.015238,                   0,           0.0072872,           0.0072872,           0.0072872
                 113,            0.021005,           0.0046051,                   0,             0.27885,             0.24346,             0.21708,            0.071885,            0.061633,            0.014009,                   0,           0.0072438,           0.0072438,           0.0072438
                 114,            0.021953,           0.0046229,                   0,             0.31286,                 0.2,              0.1928,            0.067663,            0.062555,            0.015613,                   0,           0.0072003,           0.0072003,           0.0072003
                 115,            0.021009,           0.0046834,                   0,             0.31575,             0.22222,             0.21452,            0.075921,            0.058321,            0.014787,                   0,           0.0071566,           0.0071566,           0.0071566
                 116,            0.020709,           0.0046693,                   0,             0.39947,             0.16261,             0.15826,            0.061858,            0.062708,            0.015067,                   0,           0.0071127,           0.0071127,           0.0071127
                 117,            0.020447,           0.0046077,                   0,             0.35933,             0.19943,             0.19225,            0.070034,            0.062242,            0.014633,                   0,           0.0070686,           0.0070686,           0.0070686
                 118,            0.020386,           0.0043853,                   0,              0.3012,             0.23704,             0.18847,            0.067759,            0.061263,             0.01537,                   0,           0.0070243,           0.0070243,           0.0070243
                 119,            0.020235,           0.0044658,                   0,              0.1967,             0.19259,             0.13623,            0.049421,             0.06146,            0.014798,                   0,           0.0069799,           0.0069799,           0.0069799
                 120,            0.020304,            0.004269,                   0,             0.28856,             0.20741,             0.18452,            0.064185,            0.062952,            0.014774,                   0,           0.0069353,           0.0069353,           0.0069353
                 121,            0.020764,           0.0044874,                   0,             0.26698,             0.22933,             0.19815,            0.072816,            0.062378,            0.015101,                   0,           0.0068906,           0.0068906,           0.0068906
                 122,            0.020964,           0.0046637,                   0,             0.33734,                 0.2,             0.19934,            0.078386,            0.061095,            0.014504,                   0,           0.0068457,           0.0068457,           0.0068457
